지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
오륙도 주유소 옆 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 강사리 212-1,경상북도 포항시 남구 호미곶면 강사리 212-1,36.035997,129.577848,211.2,64,Y,054-270-8282,,강사1지구,,,,미적용,,390,14,,,,포항시,054-270-8282,2019-06-30
포항시립아트홀 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 덕산동 129-1,경상북도 포항시 북구 덕산동 129-1,36.041881,129.364215,330,100,Y,054-270-8282,,송도1지구,,,,미적용,,1560,10,,,,포항시,054-270-8282,2019-06-30
발산2리 마을뒤 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 동해면 발산리 116-2,경상북도 포항시 남구 동해면 발산리 116-2,36.045242,129.519220,102.3,31,Y,054-270-8282,,발산지구,,,,미적용,,530,30,,,,포항시,054-270-8282,2019-06-30
강사교회 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 강사리 424-2,경상북도 포항시 남구 호미곶면 강사리 424-2,36.047068,129.577206,69.3,21,Y,054-270-8282,,강사2지구,,,,미적용,,670,20,,,,포항시,054-270-8282,2019-06-30
해송모텔 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 강사리 756-5,경상북도 포항시 남구 호미곶면 강사리 756-5,36.055162,129.576221,66,20,Y,054-270-8282,,강사2지구,,,,미적용,,670,18,,,,포항시,054-270-8282,2019-06-30
대동배1리보건진료소 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 대동배리 420-2,경상북도 포항시 남구 호미곶면 대동배리 420-2,36.055624,129.531125,132,40,Y,054-270-8282,,대동배지구,,,,미적용,,180,15,,,,포항시,054-270-8282,2019-06-30
포항고등학교 앞,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 포항시 북구 학산동 288,경상북도 포항시 북구 학산동 288,36.057372973,129.370524627,6600,2000,Y,054-270-8282,,두호지구,,,,미적용,,1130,26,,,,포항시,054-270-8282,2019-06-30
학산5어린이공원,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 항구동 345,경상북도 포항시 북구 항구동 345,36.057121,129.375586,3342.9,1013,Y,054-270-8282,,두호지구,,,,미적용,,330,20,,,,포항시,054-270-8282,2019-06-30
대동배1리마을뒷산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 대동배리 359,경상북도 포항시 남구 호미곶면 대동배리 359,36.058202,129.534475,99,30,Y,054-270-8282,,대동배지구,,,,미적용,,500,33,,,,포항시,054-270-8282,2019-06-30
두호1어린이공원,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 두호동 1092,경상북도 포항시 북구 두호동 1092,36.064505,129.381502,4290,1300,Y,054-270-8282,,두호지구,,,,미적용,,1150,15,,,,포항시,054-270-8282,2019-06-30
대동배2리버스승강장앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 대동배리 48-2,경상북도 포항시 남구 호미곶면 대동배리 48-2,36.065015,129.540546,99,30,Y,054-270-8282,,대동배지구,,,,미적용,,250,26,,,,포항시,054-270-8282,2019-06-30
대천수산 입구,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 대보면 대보리 15-9,경상북도 포항시 남구 대보면 대보리 15-9,36.065226,129.570195,99,30,Y,054-270-8282,,호미곶지구,,,,미적용,,250,17,,,,포항시,054-270-8282,2019-06-30
대동배2리마을 뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 대동배리 산26-6,경상북도 포항시 남구 호미곶면 대동배리 산26-6,36.065729,129.537621,155.1,47,Y,054-270-8282,,대동배지구,,,,미적용,,150,28,,,,포항시,054-270-8282,2019-06-30
환호동해맞이공원,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 환호동 323-3,경상북도 포항시 북구 환호동 323-3,36.068093,129.395057,37950,11500,Y,054-270-8282,,환여지구,,,,미적용,,500,17,,,,포항시,054-270-8282,2019-06-30
환호 여중 앞,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 포항시 북구 환호동 69,경상북도 포항시 북구 환호동 69,36.0710657203,129.400318546,1650,500,Y,054-270-8282,,환여지구,,,,미적용,,800,16,,,,포항시,054-270-8282,2019-06-30
해안로511번길,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 여남동 97,경상북도 포항시 북구 여남동 97,36.0734965983,129.413107,1329.9,403,Y,054-270-8282,,환여지구,,,,미적용,,250,30,,,,포항시,054-270-8282,2019-06-30
포항해양과학고 앞,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 포항시 북구 환호동 2-8,경상북도 포항시 북구 환호동 2-8,36.073914,129.406266,1320,400,Y,054-270-8282,,환여지구,,,,미적용,,500,22,,,,포항시,054-270-8282,2019-06-30
해맞이광장입구 버스승강장,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 대보리 294-2,경상북도 포항시 남구 호미곶면 대보리 294-2,36.076651,129.565001,99,30,Y,054-270-8282,,호미곶지구,,,,미적용,,570,12,,,,포항시,054-270-8282,2019-06-30
대보초등학교 앞,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 포항시 남구 호미곶면 구만리 123,경상북도 포항시 남구 호미곶면 구만리 123,36.078595,129.557246,339.9,103,Y,054-270-8282,,호미곶지구,,,,미적용,,500,12,,,,포항시,054-270-8282,2019-06-30
호미곶면사무소 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 구만리 47-6,경상북도 포항시 남구 호미곶면 구만리 47-6,36.0807799793,129.555732,132,40,Y,054-270-8282,,호미곶지구,,,,미적용,,600,22,,,,포항시,054-270-8282,2019-06-30
구만리 389-1 주변,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 호미곶면 구만리 389-1,경상북도 포항시 남구 호미곶면 구만리 389-1,36.081356,129.550861,330,100,Y,054-270-8282,,구만지구,,,,미적용,,475,29,,,,포항시,054-270-8282,2019-06-30
남구 호미곶면 구만길 128,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 남구 대보면 구만리 488-3,경상북도 포항시 남구 대보면 구만리 488-3,36.084281,129.548189,310.2,94,Y,054-270-8282,,구만지구,,,,미적용,,300,20,,,,포항시,054-270-8282,2019-06-30
해뜨는집 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 죽천리 173-16,경상북도 포항시 북구 흥해읍 죽천리 173-16,36.088858,129.417614,99,30,Y,054-270-8282,,죽천지구,,,,미적용,,400,32,,,,포항시,054-270-8282,2019-06-30
죽천마을입구 앞 버스정류장,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 죽천리 146-2,경상북도 포항시 북구 흥해읍 죽천리 146-2,36.091378,129.417658,66,20,Y,054-270-8282,,죽천지구,,,,미적용,,300,21,,,,포항시,054-270-8282,2019-06-30
죽천초등학교 앞,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 포항시 북구 흥해읍 우목리 105,경상북도 포항시 북구 흥해읍 우목리 105,36.098536,129.427807,396,120,Y,054-270-8282,,죽천지구,,,,미적용,,200,30,,,,포항시,054-270-8282,2019-06-30
용한1리 마을입구,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 용한리 산 41-1,경상북도 포항시 북구 흥해읍 용한리 산 41-1,36.110108,129.426578,69.3,21,Y,054-270-8282,,용한지구,,,,미적용,,200,36,,,,포항시,054-270-8282,2019-06-30
곡강3리 마을뒷편 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 곡강리 산87,경상북도 포항시 북구 흥해읍 곡강리 산87,36.127699,129.398819,92.4,28,Y,054-270-8282,,곡강지구,,,,미적용,,300,25,,,,포항시,054-270-8282,2019-06-30
칠포해수욕장위부대앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 칠포리 산109-10,경상북도 포항시 북구 흥해읍 칠포리 산109-10,36.132860,129.396454,99,30,Y,054-270-8282,,곡강지구,,,,미적용,,400,37,,,,포항시,054-270-8282,2019-06-30
칠포2주유소 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 칠포리 265-1,경상북도 포항시 북구 흥해읍 칠포리 265-1,36.140917,129.392479,112.2,34,Y,054-270-8282,,칠포2지구,,,,미적용,,200,18,,,,포항시,054-270-8282,2019-06-30
칠포1리 고지대,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 칠포리 54-4,경상북도 포항시 북구 흥해읍 칠포리 54-4,36.145546,129.396857,801.9,243,Y,054-270-8282,,칠포1지구,,,,미적용,,200,18,,,,포항시,054-270-8282,2019-06-30
오도해수욕장 입구,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 오도리 359-3,경상북도 포항시 북구 흥해읍 오도리 359-3,36.154187,129.398375,92.4,28,Y,054-270-8282,,오도지구,,,,미적용,,150,21,,,,포항시,054-270-8282,2019-06-30
작은펜션 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 오도리 246-3,경상북도 포항시 북구 흥해읍 오도리 246-3,36.157968,129.396314,99,30,Y,054-270-8282,,오도지구,,,,미적용,,200,35,,,,포항시,054-270-8282,2019-06-30
사랑의유람선 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 흥해읍 오도리 74-7,경상북도 포항시 북구 흥해읍 오도리 74-7,36.163778,129.397882,99,30,Y,054-270-8282,,오도지구,,,,미적용,,200,17,,,,포항시,054-270-8282,2019-06-30
스타팜펜션 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 청진리 413,경상북도 포항시 북구 청하면 청진리 413,36.1705077276,129.396188601,165,50,Y,054-270-8282,,청진지구,,,,미적용,,100,18,,,,포항시,054-270-8282,2019-06-30
선정마을입구 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 청진리 309,경상북도 포항시 북구 청하면 청진리 309,36.174767,129.392877,165,50,Y,054-270-8282,,청진지구,,,,미적용,,450,23,,,,포항시,054-270-8282,2019-06-30
청진1리 GS주유소 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 청진리 78,경상북도 포항시 북구 청하면 청진리 78,36.179154,129.390402,165,50,Y,054-270-8282,,청진지구,,,,미적용,,250,32,,,,포항시,054-270-8282,2019-06-30
이가힐펜션 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 이가리 555-4,경상북도 포항시 북구 청하면 이가리 555-4,36.184374,129.383847,264,80,Y,054-270-8282,,이가지구,,,,미적용,,450,20,,,,포항시,054-270-8282,2019-06-30
이가리 산23-1 일원,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 이가리 산23-1,경상북도 포항시 북구 청하면 이가리 산23-1,36.185618,129.381904,132,40,Y,054-270-8282,,이가지구,,,,미적용,,50,20,,,,포항시,054-270-8282,2019-06-30
오션뷰 펜션 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 용두리 49-2,경상북도 포항시 북구 청하면 용두리 49-2,36.194760,129.369757,504.9,153,Y,054-270-8282,,용두지구,,,,미적용,,600,20,,,,포항시,054-270-8282,2019-06-30
월포초교 뒷뜰앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 용두리 569-4,경상북도 포항시 북구 청하면 용두리 569-4,36.203299,129.364987,2970,900,Y,054-270-8282,,월포지구,,,,미적용,,800,14,,,,포항시,054-270-8282,2019-06-30
월포다리 뒤 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 월포리 3-17,경상북도 포항시 북구 청하면 월포리 3-17,36.2079776595,129.372837402,349.8,106,Y,054-270-8282,,월포지구,,,,미적용,,200,10,,,,포항시,054-270-8282,2019-06-30
월포백번횟집앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 방어리 313,경상북도 포항시 북구 청하면 방어리 313,36.2085840705,129.37678238,495,150,Y,054-270-8282,,방어지구,,,,미적용,,100,13,,,,포항시,054-270-8282,2019-06-30
방어침례교회 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 청하면 방어리 122,경상북도 포항시 북구 청하면 방어리 122,36.212288,129.381692,660,200,Y,054-270-8282,,방어지구,,,,미적용,,200,13,,,,포항시,054-270-8282,2019-06-30
조사리버스승강장 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 조사리 71-12,경상북도 포항시 북구 송라면 조사리 71-12,36.222801,129.384556,396,120,Y,054-270-8282,,방석지구,,,,미적용,,200,13,,,,포항시,054-270-8282,2019-06-30
1박2일펜션 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 방석리 104,경상북도 포항시 북구 송라면 방석리 104,36.234387,129.381090,1494.9,453,Y,054-270-8282,,방석지구,,,,미적용,,600,23,,,,포항시,054-270-8282,2019-06-30
화진1리 버스정류장 옆,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 화진리 261-1,경상북도 포항시 북구 송라면 화진리 261-1,36.236767,129.382442,198,60,Y,054-270-8282,,화진지구,,,,미적용,,900,25,,,,포항시,054-270-8282,2019-06-30
화진2리 비취모텔 앞,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 화진리 185-3,경상북도 포항시 북구 송라면 화진리 185-3,36.239719,129.381601,1181.4,358,Y,054-270-8282,,화진지구,,,,미적용,,300,23,,,,포항시,054-270-8282,2019-06-30
화진교 옆 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 지경리 412-1,경상북도 포항시 북구 송라면 지경리 412-1,36.250400,129.370156,198,60,Y,054-270-8282,,지경지구,,,,미적용,,450,10,,,,포항시,054-270-8282,2019-06-30
화진휴게소 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 지경리 331-5,경상북도 포항시 북구 송라면 지경리 331-5,36.254449,129.371937,660,200,Y,054-270-8282,,지경지구,,,,미적용,,300,15,,,,포항시,054-270-8282,2019-06-30
지경검문소 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 포항시 북구 송라면 지경리 199-2,경상북도 포항시 북구 송라면 지경리 199-2,36.262935,129.374375,198,60,Y,054-270-8282,,지경지구,,,,미적용,,300,18,,,,포항시,054-270-8282,2019-06-30
국도변,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 부경리,경상북도 영덕군 남정면 부경리,36.271919,129.369476,660,200,Y,054-730-6521,,부경지구,,,,미적용,,90,30,,,,영덕군,054-730-6521,2019-06-30
장사해돋이휴게소 주차장,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 원척리 267-9,경상북도 영덕군 남정면 원척리 267-9,36.2961944271,129.376553943,660,200,Y,054-730-6521,,부경지구,,,,미적용,,90,30,,,,영덕군,054-730-6521,2019-06-30
부흥2리 뒷산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 장사리,경상북도 영덕군 남정면 장사리,36.283620,129.370855,825,250,Y,054-730-6521,,장사지구,,,,미적용,,900,30,,,,영덕군,054-730-6521,2019-06-30
남정중학교,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 장사리,경상북도 영덕군 남정면 장사리,36.287882,129.367869,1650,500,Y,054-730-6521,,장사지구,,,,미적용,,1000,30,,,,영덕군,054-730-6521,2019-06-30
마을회관,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 부흥1리,경상북도 영덕군 남정면 부흥1리,36.292300,129.377367,990,300,Y,054-730-6521,,부흥지구,,,,미적용,,130,30,,,,영덕군,054-730-6521,2019-06-30
경보휴게소,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 원척리 297-9,경상북도 영덕군 남정면 원척리 297-9,36.296078,129.376547,990,300,Y,054-730-6521,,원척지구,,,,미적용,,150,30,,,,영덕군,054-730-6521,2019-06-30
마을공터,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 원척리,경상북도 영덕군 남정면 원척리,36.305206,129.369027,660,200,Y,054-730-6521,,원척지구,,,,미적용,,70,30,,,,영덕군,054-730-6521,2019-06-30
마을뒷산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 남정면 구계리,경상북도 영덕군 남정면 남정면 구계리,36.317709,129.364583,726,220,Y,054-730-6521,,구계지구,,,,미적용,,220,20,,,,영덕군,054-730-6521,2019-06-30
제당뒷산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 남정면 구계리,경상북도 영덕군 남정면 남정면 구계리,36.317709,129.364583,1023,310,Y,054-730-6521,,구계지구,,,,미적용,,310,25,,,,영덕군,054-730-6521,2019-06-30
아이씨프라자,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 남정면 구계리,경상북도 영덕군 남정면 남정면 구계리,36.319350,129.375865,495,150,Y,054-730-6521,,구계지구,,,,미적용,,50,30,,,,영덕군,054-730-6521,2019-06-30
마을뒷산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 남정면 구계리,경상북도 영덕군 남정면 남정면 구계리,36.319516,129.376904,495,150,Y,054-730-6521,,금곡1지구,,,,미적용,,700,25,,,,영덕군,054-730-6521,2019-06-30
남호승강장,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 남정면 남정면 남호리,경상북도 영덕군 남정면 남정면 남호리,36.333401,129.373778,330,100,Y,054-730-6521,,남호지구,,,,미적용,,120,30,,,,영덕군,054-730-6521,2019-06-30
씨아일랜드주차장,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 삼사리 631-8,경상북도 영덕군 강구면 삼사리 631-8,36.340158,129.381578,165,50,Y,054-730-6521,,삼사지구,,,,미적용,,60,10,,,,영덕군,054-730-6521,2019-06-30
삼사공원입구2,지진해일대피소,지진해일 긴급대피장소,기타,경상북도 영덕군 강구면 삼사리 234,경상북도 영덕군 강구면 삼사리 234,36.345255,129.384945,495,150,Y,054-730-6521,,삼사지구,,,,미적용,,100,27,,,,영덕군,054-730-6521,2019-06-30
삼사공원입구1,지진해일대피소,지진해일 긴급대피장소,기타,경상북도 영덕군 강구면 삼사리 753-1,경상북도 영덕군 강구면 삼사리 753-1,36.345435,129.382064,1650,500,Y,054-730-6521,,삼사지구,,,,미적용,,250,27,,,,영덕군,054-730-6521,2019-06-30
독도수산뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 삼사리 1-24,경상북도 영덕군 강구면 삼사리 1-24,36.3534296405,129.386695962,1650,500,Y,054-730-6521,,"오포2,3지구",,,,미적용,,160,37,,,,영덕군,054-730-6521,2019-06-30
강구정보고,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 영덕군 강구면 삼사리 15-1,경상북도 영덕군 강구면 삼사리 15-1,36.353377,129.379949,3960,1200,Y,054-730-6521,,"오포2,3지구",,,,미적용,,1100,22,,,,영덕군,054-730-6521,2019-06-30
오포대게식당뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 오포리 9-40,경상북도 영덕군 강구면 오포리 9-40,36.354011,129.386473,1650,500,Y,054-730-6521,,"오포2,3지구",,,,미적용,,200,33,,,,영덕군,054-730-6521,2019-06-30
강구초등학교,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 영덕군 강구면 오포리 601,경상북도 영덕군 강구면 오포리 601,36.356862,129.378478,1650,500,Y,054-730-6521,,"오포2,3지구",,,,미적용,,490,20,,,,영덕군,054-730-6521,2019-06-30
수협창고뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 강구리 산50-1,경상북도 영덕군 강구면 강구리 산50-1,36.359965,129.385875,1650,500,Y,054-730-6521,,강구지구,,,,미적용,,400,36,,,,영덕군,054-730-6521,2019-06-30
오포1리 마을뒷산(1),지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 오포리 684-1,경상북도 영덕군 강구면 오포리 684-1,36.361722,129.374242,1122,340,Y,054-730-6521,,오포1지구,,,,미적용,,1400,340,,,,영덕군,054-730-6521,2019-06-30
미혜식당뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 강구리 산75-12,경상북도 영덕군 강구면 강구리 산75-12,36.361934,129.392690,1650,500,Y,054-730-6521,,강구지구,,,,미적용,,65,31,,,,영덕군,054-730-6521,2019-06-30
대게축구장입구,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 강구리 산69,경상북도 영덕군 강구면 강구리 산69,36.364052,129.390942,1650,500,Y,054-730-6521,,강구지구,,,,미적용,,800,40,,,,영덕군,054-730-6521,2019-06-30
오포1리 마을뒷산(2),지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 오포리 산10,경상북도 영덕군 강구면 오포리 산10,36.364839,129.373347,1122,340,Y,054-730-6521,,오포1지구,,,,미적용,,1500,340,,,,영덕군,054-730-6521,2019-06-30
금진택지입구,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 금진리 665-13,경상북도 영덕군 강구면 금진리 665-13,36.366124,129.393826,660,200,Y,054-730-6521,,금진2지구,,,,미적용,,180,22,,,,영덕군,054-730-6521,2019-06-30
풍성호뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 금진리 630,경상북도 영덕군 강구면 금진리 630,36.368648,129.394469,165,50,Y,054-730-6521,,금진2지구,,,,미적용,,70,20,,,,영덕군,054-730-6521,2019-06-30
소하민박뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 금진리 597,경상북도 영덕군 강구면 금진리 597,36.369197,129.395434662,165,50,Y,054-730-6521,,금진2지구,,,,미적용,,70,20,,,,영덕군,054-730-6521,2019-06-30
대구대학교연수원,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 금진리 85,경상북도 영덕군 강구면 금진리 85,36.380061,129.403438,1650,500,Y,054-730-6521,,금진1지구,,,,미적용,,80,22,,,,영덕군,054-730-6521,2019-06-30
구계승강장,지진해일대피소,지진해일 긴급대피장소,기타,경상북도 영덕군 남정면 남정면 구계리,경상북도 영덕군 남정면 남정면 구계리,36.381937,129.405100,660,200,Y,054-730-6521,,구계지구,,,,미적용,,120,30,,,,영덕군,054-730-6521,2019-06-30
하저문화마을뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 하저리 449-1,경상북도 영덕군 강구면 하저리 449-1,36.389579,129.404467,660,200,Y,054-730-6521,,하저지구,,,,미적용,,310,14,,,,영덕군,054-730-6521,2019-06-30
문화교맞은편뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 하저리 401,경상북도 영덕군 강구면 하저리 401,36.390612,129.406888,330,100,Y,054-730-6521,,하저지구,,,,미적용,,200,15,,,,영덕군,054-730-6521,2019-06-30
푸른바다민박뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 하저리 6-6,경상북도 영덕군 강구면 하저리 6-6,36.393511,129.414122,330,100,Y,054-730-6521,,하저지구,,,,미적용,,270,11,,,,영덕군,054-730-6521,2019-06-30
탁주합동제조장뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 강구면 하저리 722,경상북도 영덕군 강구면 하저리 722,36.396418,129.409527,330,100,Y,054-730-6521,,하저지구,,,,미적용,,430,12,,,,영덕군,054-730-6521,2019-06-30
구)마을회관옆,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 대부리 273,경상북도 영덕군 영덕읍 대부리 273,36.4013609862,129.421112,495,150,Y,054-730-6521,,대부지구,,,,미적용,,90,35,,,,영덕군,054-730-6521,2019-06-30
창포교회뒤편,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 대부리 247-3,경상북도 영덕군 영덕읍 대부리 247-3,36.403933,129.422813,1320,400,Y,054-730-6521,,대부지구,,,,미적용,,85,35,,,,영덕군,054-730-6521,2019-06-30
창포보건소뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 창포리 931,경상북도 영덕군 영덕읍 창포리 931,36.407756,129.423395,99,30,Y,054-730-6521,,창포지구,,,,미적용,,100,29,,,,영덕군,054-730-6521,2019-06-30
갈매기횟집뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 창포리 911,경상북도 영덕군 영덕읍 창포리 911,36.408875,129.428784,99,30,Y,054-730-6521,,창포지구,,,,미적용,,130,35,,,,영덕군,054-730-6521,2019-06-30
창포초등학교,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 영덕군 영덕읍 창포리 550,경상북도 영덕군 영덕읍 창포리 550,36.4095941227,129.427915,1419,430,Y,054-730-6521,,창포지구,,,,미적용,,100,25,,,,영덕군,054-730-6521,2019-06-30
제당옆골목,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 창포리 572,경상북도 영덕군 영덕읍 창포리 572,36.411318,129.428646,99,30,Y,054-730-6521,,창포지구,,,,미적용,,90,24,,,,영덕군,054-730-6521,2019-06-30
창포일반(강유복 집뒤),지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 창포리 591,경상북도 영덕군 영덕읍 창포리 591,36.4118894237,129.42923487,99,30,Y,054-730-6521,,창포지구,,,,미적용,,150,29,,,,영덕군,054-730-6521,2019-06-30
창호민박뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 대탄리 산13-1,경상북도 영덕군 영덕읍 대탄리 산13-1,36.433843,129.432269,429,130,Y,054-730-6521,,대탄지구,,,,미적용,,260,49,,,,영덕군,054-730-6521,2019-06-30
오보보건소뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 오보리 142,경상북도 영덕군 영덕읍 오보리 142,36.441301,129.430228,264,80,Y,054-730-6521,,오보지구,,,,미적용,,280,30,,,,영덕군,054-730-6521,2019-06-30
오보교회뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 오보리 17-4,경상북도 영덕군 영덕읍 오보리 17-4,36.442387,129.432117,165,50,Y,054-730-6521,,오보지구,,,,미적용,,170,47,,,,영덕군,054-730-6521,2019-06-30
선창횟집 뒤,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 영덕군 영덕읍 노물리 174-4,경상북도 영덕군 영덕읍 노물리 174-4,36.446269,129.431150,66,20,Y,054-730-6521,,노물지구,,,,미적용,,320,45,,,,영덕군,054-730-6521,2019-06-30
